"","parcela","N1","V1","AB1","AD1","E1","N2","V2","AB2","AD2","E2","Aclareo","Et","ABu","B"
"201",11,1976.77291821102,0,10.95192,0,4.2,1976.77291821102,28.785658,15.42912,5.7912,5.1,"SA",0,0,0
"202",11,1976.77291821102,28.785658,15.42912,5.7912,5.1,988.38645910551,26.72854,11.27336,7.3152,6.2,"SA",0,0,0
"203",11,988.38645910551,26.72854,11.27336,7.3152,6.2,988.38645910551,44.200049,14.99288,8.8392,7,"SA",0,0,0
"204",11,988.38645910551,44.200049,14.99288,8.8392,7,988.38645910551,54.240744,17.03632,9.7536,7.7,"SA",0,0,0
"205",11,988.38645910551,54.240744,17.03632,9.7536,7.7,988.38645910551,77.148922,21.0084,10.668,8.9,"SA",0,0,0
"206",11,988.38645910551,77.148922,21.0084,10.668,8.9,494.193229552755,55.996991,13.73008,11.5824,10.3,"A1",8.9,21.0084,0.653551912568306
"207",11,494.193229552755,55.996991,13.73008,11.5824,10.3,494.193229552755,83.621147,17.51848,13.4112,12.1,"A1",8.9,21.0084,0.833879781420765
"208",11,494.193229552755,83.621147,17.51848,13.4112,12.1,247.096614776378,59.40453,11.20448,14.6304,14.3,"A1",8.9,21.0084,0.533333333333333
"209",11,247.096614776378,59.40453,11.20448,14.6304,14.3,247.096614776378,79.856761,13.91376,15.8496,16.1,"A1",8.9,21.0084,0.662295081967213
"210",11,247.096614776378,79.856761,13.91376,15.8496,16.1,247.096614776378,104.731096,16.646,17.3736,18.1,"A1",8.9,21.0084,0.792349726775956
"211",11,247.096614776378,104.731096,16.646,17.3736,18.1,247.096614776378,136.30156,19.76856,19.2024,20.3,"A1",8.9,21.0084,0.940983606557377
"212",11,247.096614776378,136.30156,19.76856,19.2024,20.3,247.096614776378,156.550878,21.5824,20.1168,22.1,"A1",8.9,21.0084,1.02732240437158
"213",11,247.096614776378,156.550878,21.5824,20.1168,22.1,247.096614776378,179.256143,23.9932,21.0312,24,"A1",8.9,21.0084,1.14207650273224
"214",11,247.096614776378,179.256143,23.9932,21.0312,24,247.096614776378,205.984683,26.1744,21.9456,26,"A1",8.9,21.0084,1.24590163934426
"215",11,247.096614776378,205.984683,26.1744,21.9456,26,247.096614776378,235.288119,28.7,22.86,28.1,"A1",8.9,21.0084,1.36612021857924
"216",11,247.096614776378,235.288119,28.7,22.86,28.1,247.096614776378,255.229569,30.21536,23.1648,30,"A1",8.9,21.0084,1.43825136612022
"217",11,247.096614776378,255.229569,30.21536,23.1648,30,247.096614776378,278.991381,32.12104,23.7744,32.1,"A1",8.9,21.0084,1.52896174863388
"218",11,247.096614776378,278.991381,32.12104,23.7744,32.1,247.096614776378,296.385923,33.54456,23.7744,34.1,"A1",8.9,21.0084,1.59672131147541
"219",11,247.096614776378,296.385923,33.54456,23.7744,34.1,234.741784037559,307.147309,33.4068,24.9936,36.2,"A1",8.9,21.0084,1.59016393442623
"220",11,234.741784037559,307.147309,33.4068,24.9936,36.2,NA,NA,NA,NA,NA,"SA",0,0,0
"221",12,988.38645910551,0,9.09216,0,4.2,741.289844329133,21.067967,10.60752,6.096,5.1,"SA",0,0,0
"222",12,741.289844329133,21.067967,10.60752,6.096,5.1,494.193229552755,22.145505,8.70184,7.62,6.2,"SA",0,0,0
"223",12,494.193229552755,22.145505,8.70184,7.62,6.2,494.193229552755,30.779803,10.14832,8.8392,7,"SA",0,0,0
"224",12,494.193229552755,30.779803,10.14832,8.8392,7,494.193229552755,38.182629,11.7096,9.4488,7.7,"SA",0,0,0
"225",12,494.193229552755,38.182629,11.7096,9.4488,7.7,494.193229552755,56.906601,15.1536,10.9728,8.9,"SA",0,0,0
"226",12,494.193229552755,56.906601,15.1536,10.9728,8.9,247.096614776378,38.175632,9.2988,11.5824,10.3,"A1",8.9,15.1536,0.613636363636364
"227",12,247.096614776378,38.175632,9.2988,11.5824,10.3,247.096614776378,58.585881,12.12288,13.4112,12.1,"A1",8.9,15.1536,0.8
"228",12,247.096614776378,58.585881,12.12288,13.4112,12.1,247.096614776378,77.820634,14.53368,14.6304,14.3,"A1",8.9,15.1536,0.959090909090909
"229",12,247.096614776378,77.820634,14.53368,14.6304,14.3,247.096614776378,93.661842,16.78376,14.9352,16.1,"A1",8.9,15.1536,1.10757575757576
"230",12,247.096614776378,93.661842,16.78376,14.9352,16.1,247.096614776378,122.041674,19.79152,16.764,18.1,"A1",8.9,15.1536,1.30606060606061
"231",12,247.096614776378,122.041674,19.79152,16.764,18.1,247.096614776378,154.535742,22.47784,18.5928,20.3,"A1",8.9,15.1536,1.48333333333333
"232",12,247.096614776378,154.535742,22.47784,18.5928,20.3,247.096614776378,171.160614,24.03912,19.2024,22.1,"A1",8.9,15.1536,1.58636363636364
"233",12,247.096614776378,171.160614,24.03912,19.2024,22.1,247.096614776378,187.484615,25.76112,19.812,24,"A1",8.9,15.1536,1.7
"234",12,247.096614776378,187.484615,25.76112,19.812,24,247.096614776378,210.154895,27.41424,21.336,26,"A1",8.9,15.1536,1.80909090909091
"235",12,247.096614776378,210.154895,27.41424,21.336,26,247.096614776378,233.832743,29.41176,21.9456,28.1,"A1",8.9,15.1536,1.94090909090909
"236",12,247.096614776378,233.832743,29.41176,21.9456,28.1,247.096614776378,250.618546,30.55976,22.86,30,"A1",8.9,15.1536,2.01666666666667
"237",12,247.096614776378,250.618546,30.55976,22.86,30,247.096614776378,266.830595,31.84552,23.4696,32.1,"A1",8.9,15.1536,2.10151515151515
"238",12,247.096614776378,266.830595,31.84552,23.4696,32.1,247.096614776378,281.937118,33.08536,23.7744,34.1,"A1",8.9,15.1536,2.18333333333333
"239",12,247.096614776378,281.937118,33.08536,23.7744,34.1,247.096614776378,297.30253,34.23336,24.0792,36.2,"A1",8.9,15.1536,2.25909090909091
