parcela2,parcela,N,N2,V,V2,ABu,ABu2,AB,AB2,CI,CI2,AD,AD2,E,E2,Anio_Aclareo,Aclareo,star_aclareo,Densidad,Densidad2,Mortalidad,V_mort,AB_mort,V_punta_10cm,V_punta_10cm2,V_mort_punta10cm,V_punta_15cm,V_punta_15cm2,DCM
4,4,741.2898443,728.9350136,324.164013,358.715199,0,0,42.61376,45.13936,#¿NOMBRE?,#¿NOMBRE?,21.336,23.1648,22.1,24,SA,SA,NA,Baja,Baja,0,0,0,315.963529,350.787598,0,212.519881,250.429627,27.05427885
4,4,728.9350136,728.9350136,358.715199,399.339781,0,0,45.13936,47.34352,#¿NOMBRE?,#¿NOMBRE?,23.1648,24.384,24,26,SA,SA,NA,Baja,Baja,12.35483074,2.420962,0.36736,350.787598,391.244252,2.218049,250.429627,288.703217,28.07943417
4,4,728.9350136,716.5801829,399.339781,434.86355,0,0,47.34352,49.57064,#¿NOMBRE?,#¿NOMBRE?,24.384,25.2984,26,28.1,SA,SA,NA,Baja,Baja,0,0,0,391.244252,426.977931,0,288.703217,327.025786,28.75682443
4,4,716.5801829,691.8705214,434.86355,455.035901,0,0,49.57064,49.96096,#¿NOMBRE?,#¿NOMBRE?,25.2984,25.2984,28.1,30,SA,SA,NA,Baja,Baja,12.35483074,4.051263,0.52808,426.977931,447.423165,3.876338,327.025786,350.304805,29.67802017
4,4,691.8705214,691.8705214,455.035901,473.661915,0,0,49.96096,51.84368,#¿NOMBRE?,#¿NOMBRE?,25.2984,25.6032,30,32.1,SA,SA,NA,Baja,Baja,24.70966148,8.494358,1.05616,447.423165,466.182122,8.11652,350.304805,370.917967,30.32201325
4,4,691.8705214,654.8060292,473.661915,491.595226,0,0,51.84368,52.44064,#¿NOMBRE?,#¿NOMBRE?,25.6032,26.2128,32.1,34.1,SA,SA,NA,Baja,Baja,0,0,0,466.182122,484.738166,0,370.917967,397.443594,30.88805461
4,4,654.8060292,580.6770447,491.595226,473.298071,0,0,52.44064,53.17536,#¿NOMBRE?,#¿NOMBRE?,26.2128,26.8224,34.1,36.2,SA,SA,NA,Baja,Baja,37.06449222,12.041837,1.4924,484.738166,466.6999,11.47508,397.443594,382.651936,31.93248495
5,5,481.8383988,481.8383988,0,13.217333,0,0,3.83432,5.87776,#¿NOMBRE?,#¿NOMBRE?,0,6.7056,4.2,5.1,SA,SA,NA,Baja,Baja,0,0,0,0,7.682706,0,0,0,10.06580548
5,5,481.8383988,481.8383988,13.217333,23.901752,0,0,5.87776,8.3804,#¿NOMBRE?,#¿NOMBRE?,6.7056,8.5344,5.1,6.2,SA,SA,NA,Baja,Baja,0,0,0,7.682706,18.68199,0,0,0,12.46264661
5,5,481.8383988,481.8383988,23.901752,37.727824,0,0,8.3804,11.2504,#¿NOMBRE?,#¿NOMBRE?,8.5344,9.7536,6.2,7,SA,SA,NA,Baja,Baja,0,0,0,18.68199,32.906891,0,0,0.363844,14.88115807
5,5,481.8383988,481.8383988,37.727824,47.01984,0,0,11.2504,12.8576,#¿NOMBRE?,#¿NOMBRE?,9.7536,10.668,7,7.7,SA,SA,NA,Baja,Baja,0,0,0,32.906891,42.289868,0,0.363844,0.790661,17.24202767
5,5,481.8383988,481.8383988,47.01984,67.437086,0,0,12.8576,16.27864,#¿NOMBRE?,#¿NOMBRE?,10.668,11.5824,7.7,8.9,SA,SA,NA,Baja,Baja,0,0,0,42.289868,63.028976,0,0.790661,9.019133,18.43250291
